,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
606,1340683845130215424,2020-12-20 15:41:52+00:00,358270300,1340648596262281217,776465110856589312,95.0
608,1340683989586235392,2020-12-20 15:42:26+00:00,739708146655100928,1340672599429410816,1050141832758341632,25.0
609,1340684020376596484,2020-12-20 15:42:33+00:00,440247035,1340600922553106432,1322629376421355521,5.0
611,1340684664898465794,2020-12-20 15:45:07+00:00,1251474762460790785,1340677585316012032,57358236,95.0
612,1340684809874649088,2020-12-20 15:45:42+00:00,999183445,1340672599429410816,1050141832758341632,25.0
615,1340685278462275585,2020-12-20 15:47:33+00:00,421250318,1340680552840646663,405066123,95.0
622,1340686695218491392,2020-12-20 15:53:11+00:00,1265542837724221443,1340606630145253376,1683455144,5.0
623,1340686875116380166,2020-12-20 15:53:54+00:00,1032081918,1340427316573462530,1063806444380798976,95.0
624,1340687188497993730,2020-12-20 15:55:09+00:00,1551211375,1340685304324354049,1297225538633977856,77.5
625,1340687301320568833,2020-12-20 15:55:36+00:00,1302957807696740353,1340670077927116800,1032615842,20.0
629,1340688130291208193,2020-12-20 15:58:53+00:00,1245255317333647361,1340688081452724225,1245255317333647361,75.0
635,1340689086059847681,2020-12-20 16:02:41+00:00,94765165,1340680552840646663,405066123,95.0
641,1340690242278440963,2020-12-20 16:07:17+00:00,1109447689333293057,1340670077927116800,1032615842,20.0
642,1340690425120763910,2020-12-20 16:08:00+00:00,1234964406754332674,1340680552840646663,405066123,95.0
643,1340690492594503684,2020-12-20 16:08:16+00:00,555300363,1340690003018588161,1292859248955854848,64.5
645,1340690829535526913,2020-12-20 16:09:37+00:00,45763,1340680552840646663,405066123,95.0
646,1340690856970498049,2020-12-20 16:09:43+00:00,1222227577,1340593989301493768,2182945495,64.5
647,1340691039112323077,2020-12-20 16:10:27+00:00,781169072604151809,1340325850378592257,1017807360075665408,64.5
652,1340692307415343104,2020-12-20 16:15:29+00:00,934466103090270208,1340672599429410816,1050141832758341632,25.0
654,1340692687826153474,2020-12-20 16:17:00+00:00,1633801158,1340680552840646663,405066123,95.0
655,1340692860446892032,2020-12-20 16:17:41+00:00,1223954414807011328,1340672599429410816,1050141832758341632,25.0
